	City	Description	Icon	Main_Weather	ID	Visibility[m]	Humidity[%]	Pressure[hPa]	Time	UNIX_UTC	Rain[3h][mm]	Rain[1h][mm]	Snow[3h][mm]	Snow[1h][mm]	Min_temp	Max_temp	Temp	Country	Sunrise	Sunset	Clouds[%]	Wind_direction	Wind_speed[m/s]	Latitude	Longitude
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	clear sky	01n	Clear	2650225	10000	81	1031	2018-10-22 00:20:00	1540167600	0	0	0	0	7	7	7	GB	1540191495	1540227318	0	0	4.1	55.95	-3.2
0	Edinburgh	scattered clouds	03n	Clouds	2650225	10000	87	1031	2018-10-22 00:50:00	1540169400	0	0	0	0	5	6	5.45	GB	1540191498	1540227314	40	0	3.1	55.95	-3.2
0	Edinburgh	few clouds	02n	Clouds	2650225	10000	87	1031	2018-10-22 01:20:00	1540171200	0	0	0	0	5	6	5.39	GB	1540191500	1540227311	20	0	3.1	55.95	-3.2
