	City	Description	Icon	Main_Weather	ID	Visibility[m]	Humidity[%]	Pressure[hPa]	Time	UNIX_UTC	Rain[3h][mm]	Rain[1h][mm]	Snow[3h][mm]	Snow[1h][mm]	Min_temp	Max_temp	Temp	Country	Sunrise	Sunset	Clouds[%]	Wind_direction	Wind_speed[m/s]	Latitude	Longitude
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	haze	50d	Haze	1880252	7000	83	1012	2018-10-22 00:00:00	1540166400	0	0	0	0	24	27	26.22	SG	1540162003	1540205485	75	0	0.76	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	9000	79	1012	2018-10-22 01:00:00	1540170000	0	0	0	0	27	29	28.24	SG	1540162003	1540205485	75	0	1	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	74	1013	2018-10-22 01:30:00	1540171800	0	0	0	0	27	30	28.46	SG	1540162003	1540205485	75	0	1.5	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	74	1013	2018-10-22 02:00:00	1540173600	0	0	0	0	29	30	29.25	SG	1540162003	1540205485	75	0	3.1	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	70	1013	2018-10-22 02:30:00	1540175400	0	0	0	0	29	30	29.48	SG	1540162003	1540205484	75	0	2.1	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	62	1012	2018-10-22 03:00:00	1540177200	0	0	0	0	31	32	31.25	SG	1540162002	1540205484	75	0	2.6	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	62	1013	2018-10-22 03:30:00	1540179000	0	0	0	0	31	32	31.25	SG	1540162002	1540205484	75	0	2.6	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	59	1012	2018-10-22 04:00:00	1540180800	0	0	0	0	31	33	32	SG	1540162002	1540205484	75	0	2.6	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	66	1011	2018-10-22 04:30:00	1540182600	0	0	0	0	31	33	32.02	SG	1540162002	1540205483	75	0	2.1	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	56	1010	2018-10-22 05:00:00	1540184400	0	0	0	0	32	34	32.74	SG	1540162002	1540205483	75	0	2.6	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	62	1010	2018-10-22 05:30:00	1540186200	0	0	0	0	32	34	32.75	SG	1540162002	1540205483	75	0	3.1	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	56	1009	2018-10-22 06:00:00	1540188000	0	0	0	0	32	34	33	SG	1540162002	1540205483	75	0	2.6	1.29	103.85
0	Singapore	broken clouds	04d	Clouds	1880252	10000	66	1009	2018-10-22 06:30:00	1540189800	0	0	0	0	31	34	32.78	SG	1540162001	1540205483	75	0	4.1	1.29	103.85
0	Singapore	shower rain	09d	Rain	1880252	10000	63	1008	2018-10-22 07:00:00	1540191600	0	0	0	0	32	33	32.5	SG	1540162001	1540205482	75	0	3.6	1.29	103.85
0	Singapore	shower rain	09d	Rain	1880252	10000	55	1009	2018-10-22 07:30:00	1540193400	0	0	0	0	32	33	32.51	SG	1540162001	1540205482	75	0	5.1	1.29	103.85
0	Singapore	shower rain	09d	Rain	1880252	10000	59	1008	2018-10-22 08:00:00	1540195200	0	0	0	0	31	33	32.26	SG	1540162001	1540205482	75	0	3.6	1.29	103.85
0	Singapore	shower rain	09d	Rain	1880252	10000	70	1008	2018-10-22 08:30:00	1540197000	0	0	0	0	31	33	32.28	SG	1540162001	1540205482	75	0	5.1	1.29	103.85
0	Singapore	thunderstorm	11d	Thunderstorm	1880252	10000	70	1008	2018-10-22 09:00:00	1540198800	0	0	0	0	31	33	32.05	SG	1540162001	1540205481	75	0	4.6	1.29	103.85
0	Singapore	thunderstorm	11d	Thunderstorm	1880252	10000	66	1008	2018-10-22 09:30:00	1540200600	0	0	0	0	30	32	30.51	SG	1540162000	1540205481	40	0	5.7	1.29	103.85
0	Singapore	shower rain	09d	Rain	1880252	10000	62	1008	2018-10-22 10:00:00	1540202400	0	0	0	0	30	32	30.66	SG	1540162000	1540205481	75	0	2.1	1.29	103.85
0	Singapore	shower rain	09d	Rain	1880252	10000	70	1009	2018-10-22 10:30:00	1540204200	0	0	0	0	26	32	29.22	SG	1540162000	1540205481	40	0	3.1	1.29	103.85
0	Singapore	shower rain	09n	Rain	1880252	10000	66	1010	2018-10-22 11:00:00	1540206000	0	0	0	0	26	31	28.72	SG	1540162000	1540205481	75	0	2.1	1.29	103.85
0	Singapore	shower rain	09n	Rain	1880252	10000	74	1010	2018-10-22 11:30:00	1540207800	0	0	0	0	26	31	28.71	SG	1540162000	1540205480	75	0	3.1	1.29	103.85
0	Singapore	broken clouds	04n	Clouds	1880252	10000	70	1010	2018-10-22 12:00:00	1540209600	0	0	0	0	25	30	28.22	SG	1540162000	1540205480	75	0	1.5	1.29	103.85
0	Singapore	broken clouds	04n	Clouds	1880252	10000	78	1011	2018-10-22 12:30:00	1540211400	0	0	0	0	25	30	27.97	SG	1540161999	1540205480	75	0	2.6	1.29	103.85
0	Singapore	broken clouds	04n	Clouds	1880252	10000	70	1011	2018-10-22 13:00:00	1540213200	0	0	0	0	25	30	27.72	SG	1540161999	1540205480	75	0	2.1	1.29	103.85
